customerid,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,age,under_30,married,number_of_dependents,satisfaction_score,customer_status,quarter,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,device_protection_plan,premium_tech_support,streaming_music,unlimited_data,monthly_charge,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
9978-HYCIN,1,United States,California,Bakersfield,93301,"35.383937, -119.020428",35.383937,-119.020428,Male,Yes,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),84.95,4018.05,No,0,68,3384,,72,No,Yes,1,3,Stayed,Q3,Yes,1,47,42.29,Fiber Optic,22,No,No,No,No,84.95,0.0,80,1987.6299999999999,6085.68
8338-QIUNR,1,United States,California,Bakersfield,93304,"35.339796, -119.023552",35.339796,-119.023552,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),66.5,4811.6,No,0,49,4397,,23,Yes,Yes,0,3,Stayed,Q3,Yes,8,72,6.09,DSL,41,Yes,Yes,No,Yes,66.5,45.61,0,438.48,5204.470000000001
1525-LNLOJ,1,United States,California,Bakersfield,93305,"35.391733, -118.984109",35.391733,-118.984109,Male,No,Yes,No,66,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.3,4189.7,No,0,60,4186,,34,No,Yes,0,5,Stayed,Q3,Yes,5,66,32.04,DSL,19,Yes,No,No,Yes,63.3,40.62,0,2114.64,6263.719999999999
9450-TRJUU,1,United States,California,Bakersfield,93306,"35.449881, -118.841442",35.449881,-118.841442,Male,No,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,83.15,2848.45,No,0,65,2332,,52,No,No,0,4,Stayed,Q3,No,0,35,41.21,Fiber Optic,6,No,No,No,Yes,83.15,18.84,0,1442.3500000000001,4271.96
1766-GKNMI,1,United States,California,Bakersfield,93307,"35.280113, -118.962329",35.280113,-118.962329,Male,No,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.9,2516.2,No,0,69,4388,,56,No,No,0,3,Stayed,Q3,No,0,29,9.49,Fiber Optic,21,No,No,Yes,Yes,84.9,47.04,0,275.21,2744.37
1456-TWCGB,1,United States,California,Bakersfield,93309,"35.342891, -119.064803",35.342891,-119.064803,Male,No,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,208.45,No,0,37,3272,,34,No,No,0,3,Stayed,Q3,No,0,4,38.01,Cable,5,No,No,No,Yes,49.25,0.0,0,152.04,360.49
7596-ZYWBB,1,United States,California,Bakersfield,93312,"35.392599, -119.245341",35.392599,-119.245341,Female,No,No,No,65,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,59.6,3739.8,No,0,75,4372,,19,Yes,No,0,4,Stayed,Q3,No,0,65,43.29,DSL,76,No,Yes,No,No,59.6,0.0,120,2813.85,6673.65
8329-UTMVM,1,United States,California,Bakersfield,93313,"35.140938, -119.051348",35.140938,-119.051348,Male,Yes,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.65,2964.0,No,0,31,3104,,76,No,No,0,4,Stayed,Q3,No,0,27,34.39,Fiber Optic,19,No,Yes,No,Yes,104.65,0.0,0,928.53,3892.5299999999997
3014-WJKSM,1,United States,California,San Luis Obispo,93401,"35.233745, -120.626442",35.233745,-120.626442,Male,No,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,2263.4,No,0,40,4910,,26,Yes,Yes,0,4,Stayed,Q3,Yes,10,29,3.35,Fiber Optic,59,Yes,No,No,Yes,75.3,0.0,0,97.15,2360.55
3347-YJZZE,1,United States,California,Los Osos,93402,"35.279984, -120.824288",35.279984,-120.824288,Male,No,Yes,Yes,29,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),80.1,2211.8,No,0,70,4558,,60,No,Yes,2,4,Stayed,Q3,Yes,6,29,6.73,DSL,27,Yes,No,Yes,Yes,80.1,0.0,0,195.17000000000002,2406.9700000000003
7929-DMBCV,1,United States,California,Arroyo Grande,93420,"35.176236, -120.483243",35.176236,-120.483243,Female,No,Yes,No,20,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,81.0,1683.7,No,0,22,4741,,45,No,Yes,0,3,Stayed,Q3,Yes,6,20,11.39,Fiber Optic,21,Yes,Yes,No,Yes,81.0,0.0,0,227.8,1911.5
5433-KYGHE,1,United States,California,Avila Beach,93424,"35.186644, -120.728305",35.186644,-120.728305,Female,No,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.0,1164.05,No,0,33,5494,,53,No,No,1,3,Stayed,Q3,No,0,14,47.72,Fiber Optic,22,No,Yes,No,Yes,86.0,0.0,0,668.0799999999999,1832.1299999999999
5575-TPIZQ,1,United States,California,Buellton,93427,"34.631362, -120.238218",34.631362,-120.238218,Male,No,No,No,46,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.15,4245.55,No,0,43,5593,,21,Yes,No,0,3,Stayed,Q3,No,0,46,37.75,Fiber Optic,73,No,No,No,Yes,89.15,0.0,0,1736.5,5982.05
0114-IGABW,1,United States,California,Cambria,93428,"35.591387, -121.032256",35.591387,-121.032256,Female,No,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,No,0,76,5224,,40,No,Yes,0,5,Stayed,Q3,Yes,2,71,0.0,Cable,29,Yes,Yes,Yes,Yes,58.25,0.0,0,0.0,4145.9
9944-AEXBM,1,United States,California,Casmalia,93429,"34.866032, -120.536546",34.866032,-120.536546,Male,No,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.65,2664.3,No,0,26,2383,,51,No,No,0,3,Stayed,Q3,No,0,32,37.04,Fiber Optic,28,No,No,Yes,Yes,85.65,0.0,0,1185.28,3849.58
1853-ARAAQ,1,United States,California,Cayucos,93430,"35.511833, -120.918713",35.511833,-120.918713,Female,No,No,No,26,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.35,1277.5,No,0,48,2510,,47,No,No,0,5,Stayed,Q3,No,0,26,0.0,DSL,7,Yes,No,Yes,Yes,50.35,0.0,0,0.0,1277.5
6952-OMNWB,1,United States,California,Creston,93432,"35.480896, -120.469476",35.480896,-120.469476,Male,Yes,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.35,5589.3,No,0,28,5581,,75,No,Yes,0,4,Stayed,Q3,Yes,7,68,34.31,Fiber Optic,15,Yes,No,No,Yes,80.35,0.0,0,2333.08,7922.38
6786-OBWQR,1,United States,California,Nipomo,93444,"35.050345, -120.489599",35.050345,-120.489599,Female,No,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.85,356.1,No,0,69,5109,,20,Yes,Yes,2,5,Stayed,Q3,Yes,8,5,47.91,Fiber Optic,73,No,No,No,Yes,80.85,0.0,0,239.54999999999998,595.65
2753-JMMCV,1,United States,California,Paso Robles,93446,"35.634222, -120.728341",35.634222,-120.728341,Male,No,No,No,65,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),74.2,4805.65,No,0,39,4774,,41,No,No,0,3,Stayed,Q3,No,0,65,22.23,DSL,18,Yes,Yes,Yes,Yes,74.2,0.0,0,1444.95,6250.599999999999
1216-JWVUX,1,United States,California,San Miguel,93451,"35.886767, -120.608661",35.886767,-120.608661,Male,No,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1901.05,No,0,33,5985,,51,No,Yes,3,3,Stayed,Q3,Yes,4,25,4.46,Fiber Optic,58,No,No,No,Yes,75.5,0.0,0,111.5,2012.55
7564-GHCVB,1,United States,California,San Simeon,93452,"35.746484, -121.223355",35.746484,-121.223355,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),79.05,5730.7,No,0,40,4689,,27,Yes,Yes,0,3,Stayed,Q3,Yes,5,72,7.29,Fiber Optic,53,No,No,No,No,79.05,0.0,80,524.88,6335.58
1173-NOEYG,1,United States,California,Santa Margarita,93453,"35.303926, -120.256567",35.303926,-120.256567,Female,No,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),90.15,2423.4,No,0,67,5750,,25,Yes,Yes,0,4,Stayed,Q3,Yes,1,27,18.74,Fiber Optic,59,Yes,No,Yes,Yes,90.15,0.0,0,505.97999999999996,2929.38
7595-EHCDL,1,United States,California,Santa Maria,93454,"34.943523, -120.256729",34.943523,-120.256729,Male,No,Yes,Yes,32,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),50.6,1653.45,No,0,40,3087,,48,No,Yes,2,3,Stayed,Q3,Yes,10,32,0.0,DSL,19,Yes,No,Yes,Yes,50.6,0.0,0,0.0,1653.45
6647-ZEDXT,1,United States,California,Santa Maria,93455,"34.818227, -120.418784",34.818227,-120.418784,Female,No,No,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),110.45,3327.05,No,0,45,4983,,19,Yes,No,0,4,Stayed,Q3,No,0,30,13.16,Fiber Optic,27,Yes,Yes,Yes,Yes,110.45,0.0,0,394.8,3721.8500000000004
2521-NPUZR,1,United States,California,Santa Maria,93458,"34.95934, -120.490081",34.95934,-120.490081,Male,No,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),101.0,7085.5,No,0,48,5025,,26,Yes,Yes,0,3,Stayed,Q3,Yes,9,70,41.05,Fiber Optic,59,Yes,Yes,Yes,Yes,101.0,0.0,0,2873.5,9959.0
1307-TVUFB,1,United States,California,Santa Ynez,93460,"34.630356, -120.032564",34.630356,-120.032564,Male,Yes,No,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.35,3344.1,No,0,79,2399,,66,No,No,0,4,Stayed,Q3,No,0,42,13.51,Fiber Optic,19,No,No,No,Yes,79.35,0.0,0,567.42,3911.52
7503-MIOGA,1,United States,California,Shandon,93461,"35.634488, -120.293534",35.634488,-120.293534,Female,Yes,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.85,6697.35,No,0,56,5881,,68,No,Yes,0,3,Stayed,Q3,No,0,72,48.51,Cable,17,Yes,Yes,No,Yes,89.85,0.0,0,3492.72,10190.07
4381-MHQDC,1,United States,California,Solvang,93463,"34.624399, -120.137875",34.624399,-120.137875,Female,No,No,No,47,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,65.0,2879.9,No,0,40,3286,,38,No,No,0,3,Stayed,Q3,No,0,47,35.75,DSL,13,Yes,Yes,No,No,65.0,0.0,0,1680.25,4560.15
6923-JHPMP,1,United States,California,Templeton,93465,"35.536115, -120.739231",35.536115,-120.739231,Female,No,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.45,137.1,No,0,67,5602,,35,No,No,0,4,Joined,Q3,No,0,2,35.41,Fiber Optic,25,Yes,No,No,Yes,80.45,0.0,0,70.82,207.92
1635-FJFCC,1,United States,California,Acton,93510,"34.501452, -118.207862",34.501452,-118.207862,Female,No,No,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.05,202.15,No,0,74,5846,,46,No,No,0,5,Stayed,Q3,No,0,5,10.99,DSL,29,No,No,No,Yes,44.05,0.0,0,54.95,257.1
2499-AJYUA,1,United States,California,Benton,93512,"37.653947, -118.231443",37.653947,-118.231443,Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,7882.25,No,0,80,5933,,69,No,Yes,0,5,Stayed,Q3,Yes,8,72,15.85,Fiber Optic,2,Yes,Yes,No,Yes,110.8,0.0,0,1141.2,9023.45
6919-ELBGL,1,United States,California,Big Pine,93513,"37.245505, -118.062943",37.245505,-118.062943,Male,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.95,8196.4,No,0,61,6268,,75,No,Yes,0,3,Stayed,Q3,Yes,3,72,21.38,Fiber Optic,2,Yes,Yes,No,Yes,114.95,0.0,0,1539.36,9735.76
3966-HRMZA,1,United States,California,Bishop,93514,"37.04584, -118.397236",37.04584,-118.397236,Female,Yes,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,75.05,202.9,No,0,56,3545,,74,No,No,0,4,Joined,Q3,No,0,3,41.44,Fiber Optic,13,Yes,No,No,No,75.05,5.49,10,124.32,331.73
8405-IGQFX,1,United States,California,Bridgeport,93517,"38.184583, -119.286558",38.184583,-119.286558,Female,No,No,No,63,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),90.05,5817.0,No,0,45,4039,,41,No,No,0,3,Stayed,Q3,No,0,63,40.34,Fiber Optic,8,Yes,Yes,No,Yes,90.05,0.0,0,2541.42,8358.42
8224-IVVPA,1,United States,California,Caliente,93518,"35.358953, -118.527064",35.358953,-118.527064,Female,No,No,No,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,56.7,1652.95,No,0,79,4472,,35,No,No,0,3,Stayed,Q3,No,0,27,25.21,DSL,9,No,No,No,Yes,56.7,0.0,0,680.6700000000001,2333.62
9477-LGWQI,1,United States,California,Darwin,93522,"36.319181, -117.593053",36.319181,-117.593053,Male,No,Yes,No,70,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),80.15,5600.15,No,0,70,5715,,28,Yes,Yes,0,3,Stayed,Q3,Yes,10,70,24.08,DSL,46,Yes,No,Yes,Yes,80.15,0.0,0,1685.6,7285.75
1410-RSCMR,1,United States,California,Edwards,93523,"34.966777, -117.961179",34.966777,-117.961179,Male,No,Yes,Yes,7,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),71.35,515.75,No,0,30,3459,,47,No,Yes,2,3,Stayed,Q3,Yes,3,7,49.98,Cable,25,Yes,Yes,Yes,Yes,71.35,0.0,0,349.85999999999996,865.6099999999999
0139-IVFJG,1,United States,California,Inyokern,93527,"36.041315, -118.188235",36.041315,-118.188235,Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,No,0,29,5361,,19,Yes,Yes,0,3,Joined,Q3,Yes,10,2,4.65,Fiber Optic,53,No,No,No,Yes,90.35,0.0,0,9.3,199.8
5684-FJVYR,1,United States,California,Lake Hughes,93532,"34.659579, -118.584212",34.659579,-118.584212,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),90.35,6563.4,No,0,49,5794,,41,No,Yes,0,3,Stayed,Q3,Yes,9,72,9.6,Fiber Optic,25,No,Yes,No,Yes,90.35,0.0,0,691.1999999999999,7254.599999999999
1266-NZYUI,1,United States,California,Lee Vining,93541,"37.890145, -119.184087",37.890145,-119.184087,Female,No,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),66.85,4758.8,No,0,32,6264,,56,No,Yes,0,3,Stayed,Q3,Yes,6,72,14.65,DSL,20,Yes,Yes,No,Yes,66.85,0.0,0,1054.8,5813.6
4718-DHSMV,1,United States,California,Llano,93544,"34.500091, -117.765862",34.500091,-117.765862,Female,No,No,No,11,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,35.8,363.15,No,0,44,2534,,22,Yes,No,0,5,Stayed,Q3,No,0,11,0.0,DSL,52,No,No,No,Yes,35.8,0.0,0,0.0,363.15
5175-WLYXL,1,United States,California,Lone Pine,93545,"36.590415, -118.073839",36.590415,-118.073839,Male,No,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,78.85,1600.25,No,0,75,2444,,56,No,No,0,5,Stayed,Q3,No,0,22,30.35,Fiber Optic,10,No,No,No,No,78.85,0.0,50,667.7,2317.95
8728-SKJLR,1,United States,California,Olancha,93549,"36.296851, -117.865469",36.296851,-117.865469,Male,No,No,No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.25,3089.1,No,0,78,3277,,45,No,No,0,3,Stayed,Q3,No,0,41,1.08,Fiber Optic,6,No,Yes,No,Yes,74.25,0.0,0,44.28,3133.38
3137-NYQQI,1,United States,California,Palmdale,93550,"34.536232, -118.082935",34.536232,-118.082935,Male,No,Yes,No,17,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,64.8,1175.6,No,0,70,3546,,32,No,Yes,0,4,Stayed,Q3,Yes,2,17,45.35,DSL,11,No,No,Yes,Yes,64.8,0.0,0,770.95,1946.55
8823-RLPWL,1,United States,California,Rosamond,93560,"34.903052, -118.411251",34.903052,-118.411251,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),110.65,8065.65,No,0,22,4259,,24,Yes,Yes,0,4,Stayed,Q3,Yes,5,72,41.21,Fiber Optic,73,Yes,No,Yes,Yes,110.65,0.0,0,2967.12,11032.77
9505-SQFSW,1,United States,California,Tehachapi,93561,"35.073777, -118.652112",35.073777,-118.652112,Female,No,Yes,Yes,3,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,40.3,92.5,No,0,65,5651,,59,No,Yes,3,4,Joined,Q3,Yes,6,3,0.0,Cable,53,No,No,Yes,Yes,40.3,0.0,0,0.0,92.5
3758-CKOQL,1,United States,California,Valyermo,93563,"34.39583, -117.734568",34.39583,-117.734568,Female,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),107.0,6152.3,No,0,51,4620,,20,Yes,Yes,0,4,Stayed,Q3,Yes,7,59,41.15,Fiber Optic,48,Yes,Yes,Yes,No,107.0,0.0,0,2427.85,8580.15
5676-CFLYY,1,United States,California,Ahwahnee,93601,"37.375816, -119.739935",37.375816,-119.739935,Male,No,Yes,No,71,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),73.35,5154.5,No,0,68,5124,,30,No,Yes,0,5,Stayed,Q3,Yes,4,71,16.24,Cable,59,No,Yes,Yes,Yes,73.35,0.0,0,1153.04,6307.54
7521-AFHAB,1,United States,California,Auberry,93602,"36.991762, -119.242874",36.991762,-119.242874,Female,No,Yes,Yes,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.8,220.45,No,0,64,2492,,45,No,Yes,2,3,Stayed,Q3,Yes,10,5,35.6,Cable,19,No,No,No,Yes,44.8,0.0,0,178.0,398.45
0285-INHLN,1,United States,California,Badger,93603,"36.64545, -118.924982",36.64545,-118.924982,Male,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.75,1510.3,No,0,41,3519,,54,No,Yes,6,3,Stayed,Q3,Yes,5,27,36.19,DSL,53,No,No,No,Yes,54.75,0.0,0,977.1299999999999,2487.43
5125-CNDSP,1,United States,California,Big Creek,93605,"37.17277, -119.2997",37.17277,-119.2997,Male,No,No,No,63,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),40.6,2588.95,No,0,80,6406,,48,No,No,0,3,Stayed,Q3,No,0,63,0.0,DSL,28,No,Yes,No,Yes,40.6,0.0,0,0.0,2588.95
4992-LTJNE,1,United States,California,Cantua Creek,93608,"36.488056, -120.407691",36.488056,-120.407691,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),55.3,3983.6,No,0,64,6259,,40,No,Yes,0,4,Stayed,Q3,Yes,5,72,24.24,DSL,27,No,No,No,Yes,55.3,0.0,0,1745.28,5728.88
2202-OUTMO,1,United States,California,Caruthers,93609,"36.5276, -119.865999",36.5276,-119.865999,Female,No,Yes,No,34,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),60.85,2003.6,No,0,73,3012,,59,No,Yes,0,4,Stayed,Q3,Yes,5,34,12.3,DSL,26,No,Yes,No,Yes,60.85,0.0,0,418.20000000000005,2421.8
0810-BDHAW,1,United States,California,Chowchilla,93610,"37.100948, -120.270136",37.100948,-120.270136,Female,No,Yes,No,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,78.4,1832.4,No,0,77,2506,,54,No,Yes,0,3,Stayed,Q3,Yes,4,24,31.62,DSL,12,No,No,Yes,No,78.4,0.0,130,758.88,2721.28
0229-LFJAF,1,United States,California,Clovis,93611,"36.917652, -119.593757",36.917652,-119.593757,Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.65,4908.25,No,0,32,4262,,53,No,No,0,5,Stayed,Q3,No,0,72,3.66,DSL,13,Yes,Yes,No,Yes,69.65,0.0,0,263.52,5171.77
7131-ZQZNK,1,United States,California,Clovis,93612,"36.814539, -119.711868",36.814539,-119.711868,Female,No,Yes,No,60,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),59.85,3590.2,No,0,37,5790,,46,No,Yes,0,5,Stayed,Q3,Yes,1,60,0.0,DSL,19,Yes,Yes,Yes,Yes,59.85,0.0,0,0.0,3590.2
3442-ZHHCC,1,United States,California,Coarsegold,93614,"37.212191, -119.749323",37.212191,-119.749323,Male,No,No,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),76.9,5023.0,No,0,53,5355,,60,No,No,0,4,Stayed,Q3,No,0,68,1.27,Cable,13,Yes,No,Yes,Yes,76.9,0.0,0,86.36,5109.36
9871-ELEYA,1,United States,California,Del Rey,93616,"36.657462, -119.595293",36.657462,-119.595293,Female,No,No,No,34,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),67.65,2339.3,No,0,40,4263,,22,Yes,No,0,3,Stayed,Q3,No,0,34,20.75,DSL,27,Yes,Yes,No,Yes,67.65,0.0,0,705.5,3044.8
4257-GAESD,1,United States,California,Dinuba,93618,"36.523619, -119.386868",36.523619,-119.386868,Female,No,No,No,6,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),45.0,298.7,No,0,72,2270,,25,Yes,No,0,5,Stayed,Q3,No,0,6,0.0,Cable,52,No,No,Yes,Yes,45.0,0.0,0,0.0,298.7
5173-WXOQV,1,United States,California,Dos Palos,93620,"37.045728, -120.630682",37.045728,-120.630682,Male,No,Yes,No,2,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,64.2,143.65,No,0,56,4369,,38,No,Yes,0,4,Joined,Q3,Yes,2,2,4.41,DSL,26,No,Yes,Yes,No,64.2,0.0,30,8.82,182.47
2040-OBMLJ,1,United States,California,Dunlap,93621,"36.789213, -119.140338",36.789213,-119.140338,Male,No,No,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),81.7,2548.65,No,0,68,4850,,24,Yes,No,0,5,Stayed,Q3,No,0,31,17.18,Fiber Optic,76,No,Yes,No,Yes,81.7,0.0,0,532.58,3081.23
5671-RQRLP,1,United States,California,Fowler,93625,"36.625792, -119.672483",36.625792,-119.672483,Female,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.65,5411.4,No,0,30,4181,,72,No,Yes,0,4,Stayed,Q3,Yes,4,70,16.87,Fiber Optic,3,No,No,No,Yes,75.65,25.67,0,1180.9,6566.629999999999
3174-AKMAS,1,United States,California,Hume,93628,"36.807595, -118.901544",36.807595,-118.901544,Female,No,Yes,No,46,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),64.2,3009.5,No,0,41,4699,,61,No,Yes,0,4,Stayed,Q3,Yes,1,46,37.02,DSL,6,No,Yes,No,Yes,64.2,0.0,0,1702.92,4712.42
9926-PJHDQ,1,United States,California,Kingsburg,93631,"36.478239, -119.52137",36.478239,-119.52137,Female,No,Yes,No,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.8,5468.45,No,0,34,5120,,45,No,Yes,0,3,Stayed,Q3,Yes,5,72,43.47,Cable,9,Yes,No,Yes,No,76.8,0.0,90,3129.84,8688.29
7382-DFJTU,1,United States,California,Lakeshore,93634,"37.290606, -119.216328",37.290606,-119.216328,Male,No,No,No,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,1058.1,No,0,44,2110,,63,No,No,0,4,Stayed,Q3,No,0,18,47.72,DSL,28,Yes,Yes,No,Yes,55.2,0.0,0,858.96,1917.06
2798-NYLMZ,1,United States,California,Los Banos,93635,"36.995162, -120.955099",36.995162,-120.955099,Male,No,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.55,7616.0,No,0,58,4111,,29,Yes,Yes,0,3,Stayed,Q3,Yes,10,71,31.97,Fiber Optic,73,Yes,Yes,Yes,Yes,108.55,0.0,0,2269.87,9885.869999999999
3551-GAEGL,1,United States,California,Oakhurst,93644,"37.648647, -119.231447",37.648647,-119.231447,Male,No,Yes,No,34,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),30.4,938.65,No,0,33,4697,,23,Yes,Yes,0,4,Stayed,Q3,No,0,34,0.0,DSL,42,No,No,No,Yes,30.4,0.0,0,0.0,938.65
3196-NVXLZ,1,United States,California,Orange Cove,93646,"36.633498, -119.298895",36.633498,-119.298895,Female,No,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.6,2088.05,No,0,23,4874,,23,Yes,No,0,3,Stayed,Q3,No,0,25,9.57,Fiber Optic,59,No,No,No,Yes,84.6,0.0,0,239.25,2327.3
